,age,country,country-year,gdp_for_year ($),gdp_per_capita ($),generation,population,salaries,sex,suicides/100k pop,suicides_no,year
0,15-24 years,Albania,Albania1987,2156624900.0,796.0,Generation X,312900.0,,male,6.71,21.0,1987.0
1,35-54 years,Albania,Albania1987,2156624900.0,796.0,Silent,308000.0,,male,5.19,16.0,1987.0
2,15-24 years,Albania,Albania1987,2156624900.0,796.0,Generation X,289700.0,,female,4.83,14.0,1987.0
3,75+ years,Albania,Albania1987,2156624900.0,796.0,G.I. Generation,21800.0,,male,4.59,1.0,1987.0
4,25-34 years,Albania,Albania1987,2156624900.0,796.0,Boomers,274300.0,,male,3.28,9.0,1987.0
5,75+ years,Albania,Albania1987,2156624900.0,796.0,G.I. Generation,35600.0,,female,2.81,1.0,1987.0
6,35-54 years,Albania,Albania1987,2156624900.0,796.0,Silent,278800.0,,female,2.15,6.0,1987.0
7,25-34 years,Albania,Albania1987,2156624900.0,796.0,Boomers,257200.0,,female,1.56,4.0,1987.0
8,55-74 years,Albania,Albania1987,2156624900.0,796.0,G.I. Generation,137500.0,,male,0.73,1.0,1987.0
9,5-14 years,Albania,Albania1987,2156624900.0,796.0,Generation X,311000.0,,female,0.0,0.0,1987.0
10,55-74 years,Albania,Albania1987,2156624900.0,796.0,G.I. Generation,144600.0,,female,0.0,0.0,1987.0
11,5-14 years,Albania,Albania1987,2156624900.0,796.0,Generation X,338200.0,,male,0.0,0.0,1987.0
12,75+ years,Albania,Albania1988,2126000000.0,769.0,G.I. Generation,36400.0,,female,5.49,2.0,1988.0
13,15-24 years,Albania,Albania1988,2126000000.0,769.0,Generation X,319200.0,,male,5.33,17.0,1988.0
14,75+ years,Albania,Albania1988,2126000000.0,769.0,G.I. Generation,22300.0,,male,4.48,1.0,1988.0
15,35-54 years,Albania,Albania1988,2126000000.0,769.0,Silent,314100.0,,male,4.46,14.0,1988.0
16,55-74 years,Albania,Albania1988,2126000000.0,769.0,G.I. Generation,140200.0,,male,2.85,4.0,1988.0
17,15-24 years,Albania,Albania1988,2126000000.0,769.0,Generation X,295600.0,,female,2.71,8.0,1988.0
18,55-74 years,Albania,Albania1988,2126000000.0,769.0,G.I. Generation,147500.0,,female,2.03,3.0,1988.0
19,25-34 years,Albania,Albania1988,2126000000.0,769.0,Boomers,262400.0,,female,1.91,5.0,1988.0
20,25-34 years,Albania,Albania1988,2126000000.0,769.0,Boomers,279900.0,,male,1.79,5.0,1988.0
21,35-54 years,Albania,Albania1988,2126000000.0,769.0,Silent,284500.0,,female,1.41,4.0,1988.0
22,5-14 years,Albania,Albania1988,2126000000.0,769.0,Generation X,317200.0,,female,0.0,0.0,1988.0
23,5-14 years,Albania,Albania1988,2126000000.0,769.0,Generation X,345000.0,,male,0.0,0.0,1988.0
24,75+ years,Albania,Albania1989,2335124988.0,833.0,G.I. Generation,22500.0,,male,8.89,2.0,1989.0
25,25-34 years,Albania,Albania1989,2335124988.0,833.0,Boomers,283600.0,,male,6.35,18.0,1989.0
26,35-54 years,Albania,Albania1989,2335124988.0,833.0,Silent,318400.0,,male,4.71,15.0,1989.0
27,55-74 years,Albania,Albania1989,2335124988.0,833.0,G.I. Generation,142100.0,,male,4.22,6.0,1989.0
28,15-24 years,Albania,Albania1989,2335124988.0,833.0,Generation X,323500.0,,male,3.71,12.0,1989.0
29,35-54 years,Albania,Albania1989,2335124988.0,833.0,Silent,288600.0,,female,2.43,7.0,1989.0
30,15-24 years,Albania,Albania1989,2335124988.0,833.0,Generation X,299900.0,,female,1.67,5.0,1989.0
31,25-34 years,Albania,Albania1989,2335124988.0,833.0,Boomers,266300.0,,female,0.75,2.0,1989.0
32,55-74 years,Albania,Albania1989,2335124988.0,833.0,G.I. Generation,149600.0,,female,0.67,1.0,1989.0
33,5-14 years,Albania,Albania1989,2335124988.0,833.0,Generation X,321900.0,,female,0.0,0.0,1989.0
34,75+ years,Albania,Albania1989,2335124988.0,833.0,G.I. Generation,37000.0,,female,0.0,0.0,1989.0
35,5-14 years,Albania,Albania1989,2335124988.0,833.0,Generation X,349700.0,,male,0.0,0.0,1989.0
36,35-54 years,Albania,Albania1992,709452584.0,251.0,Boomers,343800.0,23.8,male,3.49,12.0,1992.0
37,15-24 years,Albania,Albania1992,709452584.0,251.0,Generation X,263700.0,23.8,male,3.41,9.0,1992.0
38,55-74 years,Albania,Albania1992,709452584.0,251.0,Silent,159500.0,23.8,male,3.13,5.0,1992.0
39,25-34 years,Albania,Albania1992,709452584.0,251.0,Boomers,245500.0,23.8,male,2.85,7.0,1992.0
40,15-24 years,Albania,Albania1992,709452584.0,251.0,Generation X,292400.0,23.8,female,2.39,7.0,1992.0
41,25-34 years,Albania,Albania1992,709452584.0,251.0,Boomers,267400.0,23.8,female,1.5,4.0,1992.0
42,35-54 years,Albania,Albania1992,709452584.0,251.0,Boomers,323100.0,23.8,female,0.62,2.0,1992.0
43,55-74 years,Albania,Albania1992,709452584.0,251.0,Silent,164900.0,23.8,female,0.61,1.0,1992.0
44,5-14 years,Albania,Albania1992,709452584.0,251.0,Millenials,336700.0,23.8,female,0.0,0.0,1992.0
45,75+ years,Albania,Albania1992,709452584.0,251.0,G.I. Generation,38700.0,23.8,female,0.0,0.0,1992.0
46,5-14 years,Albania,Albania1992,709452584.0,251.0,Millenials,362900.0,23.8,male,0.0,0.0,1992.0
47,75+ years,Albania,Albania1992,709452584.0,251.0,G.I. Generation,23900.0,23.8,male,0.0,0.0,1992.0
48,15-24 years,Albania,Albania1993,1228071038.0,437.0,Generation X,243300.0,30.2,male,7.4,18.0,1993.0
49,55-74 years,Albania,Albania1993,1228071038.0,437.0,Silent,165000.0,30.2,male,4.24,7.0,1993.0
50,75+ years,Albania,Albania1993,1228071038.0,437.0,G.I. Generation,24200.0,30.2,male,4.13,1.0,1993.0
51,25-34 years,Albania,Albania1993,1228071038.0,437.0,Boomers,230100.0,30.2,male,3.91,9.0,1993.0
52,15-24 years,Albania,Albania1993,1228071038.0,437.0,Generation X,285300.0,30.2,female,3.51,10.0,1993.0
53,35-54 years,Albania,Albania1993,1228071038.0,437.0,Boomers,350300.0,30.2,male,2.85,10.0,1993.0
54,25-34 years,Albania,Albania1993,1228071038.0,437.0,Boomers,261800.0,30.2,female,2.67,7.0,1993.0
55,35-54 years,Albania,Albania1993,1228071038.0,437.0,Boomers,331200.0,30.2,female,2.11,7.0,1993.0
56,55-74 years,Albania,Albania1993,1228071038.0,437.0,Silent,169500.0,30.2,female,1.18,2.0,1993.0
57,5-14 years,Albania,Albania1993,1228071038.0,437.0,Millenials,340300.0,30.2,female,0.29,1.0,1993.0
58,5-14 years,Albania,Albania1993,1228071038.0,437.0,Millenials,367000.0,30.2,male,0.27,1.0,1993.0
59,75+ years,Albania,Albania1993,1228071038.0,437.0,G.I. Generation,39300.0,30.2,female,0.0,0.0,1993.0
60,75+ years,Albania,Albania1994,1985673798.0,697.0,G.I. Generation,24600.0,50.5,male,8.13,2.0,1994.0
61,55-74 years,Albania,Albania1994,1985673798.0,697.0,Silent,171400.0,50.5,male,6.42,11.0,1994.0
62,75+ years,Albania,Albania1994,1985673798.0,697.0,G.I. Generation,39900.0,50.5,female,5.01,2.0,1994.0
63,25-34 years,Albania,Albania1994,1985673798.0,697.0,Boomers,231400.0,50.5,male,2.59,6.0,1994.0
64,35-54 years,Albania,Albania1994,1985673798.0,697.0,Boomers,362800.0,50.5,male,2.48,9.0,1994.0
65,15-24 years,Albania,Albania1994,1985673798.0,697.0,Generation X,242200.0,50.5,male,2.48,6.0,1994.0
66,15-24 years,Albania,Albania1994,1985673798.0,697.0,Generation X,282600.0,50.5,female,2.12,6.0,1994.0
67,25-34 years,Albania,Albania1994,1985673798.0,697.0,Boomers,261100.0,50.5,female,1.53,4.0,1994.0
68,35-54 years,Albania,Albania1994,1985673798.0,697.0,Boomers,342500.0,50.5,female,0.58,2.0,1994.0
69,55-74 years,Albania,Albania1994,1985673798.0,697.0,Silent,174600.0,50.5,female,0.57,1.0,1994.0
70,5-14 years,Albania,Albania1994,1985673798.0,697.0,Millenials,371800.0,50.5,male,0.27,1.0,1994.0
71,5-14 years,Albania,Albania1994,1985673798.0,697.0,Millenials,344400.0,50.5,female,0.0,0.0,1994.0
72,25-34 years,Albania,Albania1995,2424499009.0,835.0,Generation X,232900.0,69.1,male,5.58,13.0,1995.0
73,55-74 years,Albania,Albania1995,2424499009.0,835.0,Silent,178000.0,69.1,male,5.06,9.0,1995.0
74,75+ years,Albania,Albania1995,2424499009.0,835.0,G.I. Generation,40800.0,69.1,female,4.9,2.0,1995.0
75,15-24 years,Albania,Albania1995,2424499009.0,835.0,Generation X,283500.0,69.1,female,4.59,13.0,1995.0
76,15-24 years,Albania,Albania1995,2424499009.0,835.0,Generation X,241200.0,69.1,male,4.56,11.0,1995.0
77,75+ years,Albania,Albania1995,2424499009.0,835.0,G.I. Generation,25100.0,69.1,male,3.98,1.0,1995.0
78,35-54 years,Albania,Albania1995,2424499009.0,835.0,Boomers,375900.0,69.1,male,3.72,14.0,1995.0
79,25-34 years,Albania,Albania1995,2424499009.0,835.0,Generation X,264000.0,69.1,female,2.65,7.0,1995.0
80,35-54 years,Albania,Albania1995,2424499009.0,835.0,Boomers,356400.0,69.1,female,2.24,8.0,1995.0
81,5-14 years,Albania,Albania1995,2424499009.0,835.0,Millenials,376500.0,69.1,male,1.59,6.0,1995.0
82,55-74 years,Albania,Albania1995,2424499009.0,835.0,Silent,180400.0,69.1,female,1.11,2.0,1995.0
83,5-14 years,Albania,Albania1995,2424499009.0,835.0,Millenials,348700.0,69.1,female,0.57,2.0,1995.0
84,75+ years,Albania,Albania1996,3314898292.0,1127.0,G.I. Generation,25400.0,82.7,male,7.87,2.0,1996.0
85,15-24 years,Albania,Albania1996,3314898292.0,1127.0,Generation X,243600.0,82.7,male,6.98,17.0,1996.0
