,age,country,gdp_for_year ($),population,salaries,sex,suicides/100k pop,suicides_no,sunshine_hours_per_year,year
0,15-24 years,Albania,2156624900.0,312900.0,,male,1.0,21.0,2544.0,1987.0
1,35-54 years,Albania,2156624900.0,308000.0,,male,1.0,16.0,2544.0,1987.0
2,15-24 years,Albania,2156624900.0,289700.0,,female,1.0,14.0,2544.0,1987.0
3,75+ years,Albania,2156624900.0,21800.0,,male,1.0,1.0,2544.0,1987.0
4,25-34 years,Albania,2156624900.0,274300.0,,male,1.0,9.0,2544.0,1987.0
5,75+ years,Albania,2156624900.0,35600.0,,female,1.0,1.0,2544.0,1987.0
6,35-54 years,Albania,2156624900.0,278800.0,,female,1.0,6.0,2544.0,1987.0
7,25-34 years,Albania,2156624900.0,257200.0,,female,1.0,4.0,2544.0,1987.0
8,55-74 years,Albania,2156624900.0,137500.0,,male,1.0,1.0,2544.0,1987.0
9,5-14 years,Albania,2156624900.0,311000.0,,female,0.0,0.0,2544.0,1987.0
10,55-74 years,Albania,2156624900.0,144600.0,,female,0.0,0.0,2544.0,1987.0
11,5-14 years,Albania,2156624900.0,338200.0,,male,0.0,0.0,2544.0,1987.0
12,75+ years,Albania,2126000000.0,36400.0,,female,1.0,2.0,2544.0,1988.0
13,15-24 years,Albania,2126000000.0,319200.0,,male,1.0,17.0,2544.0,1988.0
14,75+ years,Albania,2126000000.0,22300.0,,male,1.0,1.0,2544.0,1988.0
15,35-54 years,Albania,2126000000.0,314100.0,,male,1.0,14.0,2544.0,1988.0
16,55-74 years,Albania,2126000000.0,140200.0,,male,1.0,4.0,2544.0,1988.0
17,15-24 years,Albania,2126000000.0,295600.0,,female,1.0,8.0,2544.0,1988.0
18,55-74 years,Albania,2126000000.0,147500.0,,female,1.0,3.0,2544.0,1988.0
19,25-34 years,Albania,2126000000.0,262400.0,,female,1.0,5.0,2544.0,1988.0
20,25-34 years,Albania,2126000000.0,279900.0,,male,1.0,5.0,2544.0,1988.0
21,35-54 years,Albania,2126000000.0,284500.0,,female,1.0,4.0,2544.0,1988.0
22,5-14 years,Albania,2126000000.0,317200.0,,female,0.0,0.0,2544.0,1988.0
23,5-14 years,Albania,2126000000.0,345000.0,,male,0.0,0.0,2544.0,1988.0
24,75+ years,Albania,2335124988.0,22500.0,,male,1.0,2.0,2544.0,1989.0
25,25-34 years,Albania,2335124988.0,283600.0,,male,1.0,18.0,2544.0,1989.0
26,35-54 years,Albania,2335124988.0,318400.0,,male,1.0,15.0,2544.0,1989.0
27,55-74 years,Albania,2335124988.0,142100.0,,male,1.0,6.0,2544.0,1989.0
28,15-24 years,Albania,2335124988.0,323500.0,,male,1.0,12.0,2544.0,1989.0
29,35-54 years,Albania,2335124988.0,288600.0,,female,1.0,7.0,2544.0,1989.0
30,15-24 years,Albania,2335124988.0,299900.0,,female,1.0,5.0,2544.0,1989.0
31,25-34 years,Albania,2335124988.0,266300.0,,female,1.0,2.0,2544.0,1989.0
32,55-74 years,Albania,2335124988.0,149600.0,,female,1.0,1.0,2544.0,1989.0
33,5-14 years,Albania,2335124988.0,321900.0,,female,0.0,0.0,2544.0,1989.0
34,75+ years,Albania,2335124988.0,37000.0,,female,0.0,0.0,2544.0,1989.0
35,5-14 years,Albania,2335124988.0,349700.0,,male,0.0,0.0,2544.0,1989.0
36,35-54 years,Albania,709452584.0,343800.0,23.8,male,1.0,12.0,2544.0,1992.0
37,15-24 years,Albania,709452584.0,263700.0,23.8,male,1.0,9.0,2544.0,1992.0
38,55-74 years,Albania,709452584.0,159500.0,23.8,male,1.0,5.0,2544.0,1992.0
39,25-34 years,Albania,709452584.0,245500.0,23.8,male,1.0,7.0,2544.0,1992.0
40,15-24 years,Albania,709452584.0,292400.0,23.8,female,1.0,7.0,2544.0,1992.0
41,25-34 years,Albania,709452584.0,267400.0,23.8,female,1.0,4.0,2544.0,1992.0
42,35-54 years,Albania,709452584.0,323100.0,23.8,female,1.0,2.0,2544.0,1992.0
43,55-74 years,Albania,709452584.0,164900.0,23.8,female,1.0,1.0,2544.0,1992.0
44,5-14 years,Albania,709452584.0,336700.0,23.8,female,0.0,0.0,2544.0,1992.0
45,75+ years,Albania,709452584.0,38700.0,23.8,female,0.0,0.0,2544.0,1992.0
46,5-14 years,Albania,709452584.0,362900.0,23.8,male,0.0,0.0,2544.0,1992.0
47,75+ years,Albania,709452584.0,23900.0,23.8,male,0.0,0.0,2544.0,1992.0
48,15-24 years,Albania,1228071038.0,243300.0,30.2,male,1.0,18.0,2544.0,1993.0
49,55-74 years,Albania,1228071038.0,165000.0,30.2,male,1.0,7.0,2544.0,1993.0
50,75+ years,Albania,1228071038.0,24200.0,30.2,male,1.0,1.0,2544.0,1993.0
51,25-34 years,Albania,1228071038.0,230100.0,30.2,male,1.0,9.0,2544.0,1993.0
52,15-24 years,Albania,1228071038.0,285300.0,30.2,female,1.0,10.0,2544.0,1993.0
53,35-54 years,Albania,1228071038.0,350300.0,30.2,male,1.0,10.0,2544.0,1993.0
54,25-34 years,Albania,1228071038.0,261800.0,30.2,female,1.0,7.0,2544.0,1993.0
55,35-54 years,Albania,1228071038.0,331200.0,30.2,female,1.0,7.0,2544.0,1993.0
56,55-74 years,Albania,1228071038.0,169500.0,30.2,female,1.0,2.0,2544.0,1993.0
57,5-14 years,Albania,1228071038.0,340300.0,30.2,female,1.0,1.0,2544.0,1993.0
58,5-14 years,Albania,1228071038.0,367000.0,30.2,male,1.0,1.0,2544.0,1993.0
59,75+ years,Albania,1228071038.0,39300.0,30.2,female,0.0,0.0,2544.0,1993.0
60,75+ years,Albania,1985673798.0,24600.0,50.5,male,1.0,2.0,2544.0,1994.0
61,55-74 years,Albania,1985673798.0,171400.0,50.5,male,1.0,11.0,2544.0,1994.0
62,75+ years,Albania,1985673798.0,39900.0,50.5,female,1.0,2.0,2544.0,1994.0
63,25-34 years,Albania,1985673798.0,231400.0,50.5,male,1.0,6.0,2544.0,1994.0
64,35-54 years,Albania,1985673798.0,362800.0,50.5,male,1.0,9.0,2544.0,1994.0
65,15-24 years,Albania,1985673798.0,242200.0,50.5,male,1.0,6.0,2544.0,1994.0
66,15-24 years,Albania,1985673798.0,282600.0,50.5,female,1.0,6.0,2544.0,1994.0
67,25-34 years,Albania,1985673798.0,261100.0,50.5,female,1.0,4.0,2544.0,1994.0
68,35-54 years,Albania,1985673798.0,342500.0,50.5,female,1.0,2.0,2544.0,1994.0
69,55-74 years,Albania,1985673798.0,174600.0,50.5,female,1.0,1.0,2544.0,1994.0
70,5-14 years,Albania,1985673798.0,371800.0,50.5,male,1.0,1.0,2544.0,1994.0
71,5-14 years,Albania,1985673798.0,344400.0,50.5,female,0.0,0.0,2544.0,1994.0
72,25-34 years,Albania,2424499009.0,232900.0,69.1,male,1.0,13.0,2544.0,1995.0
73,55-74 years,Albania,2424499009.0,178000.0,69.1,male,1.0,9.0,2544.0,1995.0
74,75+ years,Albania,2424499009.0,40800.0,69.1,female,1.0,2.0,2544.0,1995.0
75,15-24 years,Albania,2424499009.0,283500.0,69.1,female,1.0,13.0,2544.0,1995.0
76,15-24 years,Albania,2424499009.0,241200.0,69.1,male,1.0,11.0,2544.0,1995.0
77,75+ years,Albania,2424499009.0,25100.0,69.1,male,1.0,1.0,2544.0,1995.0
78,35-54 years,Albania,2424499009.0,375900.0,69.1,male,1.0,14.0,2544.0,1995.0
79,25-34 years,Albania,2424499009.0,264000.0,69.1,female,1.0,7.0,2544.0,1995.0
80,35-54 years,Albania,2424499009.0,356400.0,69.1,female,1.0,8.0,2544.0,1995.0
81,5-14 years,Albania,2424499009.0,376500.0,69.1,male,1.0,6.0,2544.0,1995.0
82,55-74 years,Albania,2424499009.0,180400.0,69.1,female,1.0,2.0,2544.0,1995.0
83,5-14 years,Albania,2424499009.0,348700.0,69.1,female,1.0,2.0,2544.0,1995.0
84,75+ years,Albania,3314898292.0,25400.0,82.7,male,1.0,2.0,2544.0,1996.0
85,15-24 years,Albania,3314898292.0,243600.0,82.7,male,1.0,17.0,2544.0,1996.0
86,25-34 years,Albania,3314898292.0,235300.0,82.7,male,1.0,14.0,2544.0,1996.0
87,15-24 years,Albania,3314898292.0,287700.0,82.7,female,1.0,16.0,2544.0,1996.0
88,75+ years,Albania,3314898292.0,41200.0,82.7,female,1.0,2.0,2544.0,1996.0
89,25-34 years,Albania,3314898292.0,267900.0,82.7,female,1.0,10.0,2544.0,1996.0
90,35-54 years,Albania,3314898292.0,379600.0,82.7,male,1.0,12.0,2544.0,1996.0
91,35-54 years,Albania,3314898292.0,362000.0,82.7,female,1.0,9.0,2544.0,1996.0
92,55-74 years,Albania,3314898292.0,179900.0,82.7,male,1.0,3.0,2544.0,1996.0
93,55-74 years,Albania,3314898292.0,183100.0,82.7,female,1.0,1.0,2544.0,1996.0
