,Unnamed: 0,age,country,country-year,gdp_for_year ($),gdp_per_capita ($),generation,population,salaries,sex,suicides/100k pop,suicides_no,sunshine_hours_per_year,year
0,0.0,15-24 years,Albania,Albania1987,2156624900.0,796.0,Generation X,312900.0,,male,6.71,21.0,2544.0,1987.0
1,1.0,35-54 years,Albania,Albania1987,2156624900.0,796.0,Silent,308000.0,,male,5.19,16.0,2544.0,1987.0
2,2.0,15-24 years,Albania,Albania1987,2156624900.0,796.0,Generation X,289700.0,,female,4.83,14.0,2544.0,1987.0
3,3.0,75+ years,Albania,Albania1987,2156624900.0,796.0,G.I. Generation,21800.0,,male,4.59,1.0,2544.0,1987.0
4,4.0,25-34 years,Albania,Albania1987,2156624900.0,796.0,Boomers,274300.0,,male,3.28,9.0,2544.0,1987.0
5,5.0,75+ years,Albania,Albania1987,2156624900.0,796.0,G.I. Generation,35600.0,,female,2.81,1.0,2544.0,1987.0
6,6.0,35-54 years,Albania,Albania1987,2156624900.0,796.0,Silent,278800.0,,female,2.15,6.0,2544.0,1987.0
7,7.0,25-34 years,Albania,Albania1987,2156624900.0,796.0,Boomers,257200.0,,female,1.56,4.0,2544.0,1987.0
8,8.0,55-74 years,Albania,Albania1987,2156624900.0,796.0,G.I. Generation,137500.0,,male,0.73,1.0,2544.0,1987.0
9,9.0,5-14 years,Albania,Albania1987,2156624900.0,796.0,Generation X,311000.0,,female,0.0,0.0,2544.0,1987.0
10,10.0,55-74 years,Albania,Albania1987,2156624900.0,796.0,G.I. Generation,144600.0,,female,0.0,0.0,2544.0,1987.0
11,11.0,5-14 years,Albania,Albania1987,2156624900.0,796.0,Generation X,338200.0,,male,0.0,0.0,2544.0,1987.0
12,12.0,75+ years,Albania,Albania1988,2126000000.0,769.0,G.I. Generation,36400.0,,female,5.49,2.0,2544.0,1988.0
13,13.0,15-24 years,Albania,Albania1988,2126000000.0,769.0,Generation X,319200.0,,male,5.33,17.0,2544.0,1988.0
14,14.0,75+ years,Albania,Albania1988,2126000000.0,769.0,G.I. Generation,22300.0,,male,4.48,1.0,2544.0,1988.0
15,15.0,35-54 years,Albania,Albania1988,2126000000.0,769.0,Silent,314100.0,,male,4.46,14.0,2544.0,1988.0
