,country,hours
0,Ivory Coast,2296.0
1,Benin,2630.4666666666667
2,Togo,2579.95
3,Ghana,2367.5
4,Cameroon,2165.125
5,Gabon,1720.1999999999998
6,Nigeria,2768.0
7,Sudan,3559.55
8,Eritrea,3361.0
9,Burkina Faso,3209.0
10,Niger,3203.2
11,Chad,3353.2
12,Gambia,3070.0
13,Senegal,3146.0
14,Somalia,3103.0
15,Djibouti,3279.0
16,Mali,3213.366666666667
17,Algeria,3266.5
18,Tunisia,3049.95
19,Morocco,3155.4666666666667
20,Egypt,3615.433333333333
21,Libya,3178.1
22,Kenya,3030.0249999999996
23,Angola,2341.0
24,South Sudan,2841.3
25,Tanzania,3032.85
26,Ethiopia,2784.8500000000004
27,Congo,1698.6666666666667
28,Democratic Republic of the Congo,2225.0
29,Mauritania,3332.5
30,South Africa,3172.2
31,Botswana,3426.6666666666665
32,Zambia,2965.466666666667
33,Zimbabwe,3065.4
34,Malawi,2795.866666666667
35,Madagascar,2832.6
36,Mozambique,2838.0
37,Central African Republic,2546.5
38,Uganda,2272.6666666666665
39,Burundi,2373.4
40,Guinea,2440.0
41,Guinea-Bissau,2707.0
42,Equatorial Guinea,1548.95
43,Egypt,3897.4
44,Namibia,3737.5
45,Afghanistan,3175.1
46,Azerbaijan,2207.4
47,Bangladesh,2066.0
48,China,2523.3
49,Hong Kong,1835.6
50,India,2434.15
51,Indonesia,2983.3
52,Iran,2826.1
53,Iraq,3240.8
54,Israel,3311.0
55,Japan,1808.5500000000002
56,Kazakhstan,2431.5
57,Macau,1773.9
58,Mongolia,2791.5
59,North Korea,2492.0
60,Oman,3493.3
61,Pakistan,2992.15
62,Philippines,2103.1
63,Russia,2119.0
64,Saudi Arabia,3236.5
65,Singapore,2022.4
66,South Korea,2196.65
67,Taiwan,1886.8666666666666
68,Thailand,2175.025
69,Turkey,2449.6
70,United Arab Emirates,3508.7
71,Uzbekistan,2823.9
72,Vietnam,2123.5
73,Albania,2544.0
74,Armenia,2474.0
75,Austria,1884.0
76,Belarus,1807.0
77,Belgium,1546.0
78,Bosnia and Herzegovina,1769.0
79,Bulgaria,2177.0
80,Croatia,1913.0
81,Czech Republic,1668.0
82,Cyprus,3314.1
83,Denmark,1680.0
84,Estonia,1826.0
85,Faroe Islands,840.0
86,Finland,1858.0
87,France,2249.0
88,Georgia,2046.0
89,Germany,1644.0
90,Greece,2975.0
91,Hungary,1988.0
92,Iceland,1326.0
93,Ireland,1453.0
94,Italy,2194.0
95,Latvia,1754.0
96,Lithuania,1691.0
97,Malta,3054.0
98,Moldova,2126.0
99,Montenegro,2481.0
100,Netherlands,1662.0
101,North Macedonia,2339.0
102,Norway,1373.3333333333333
103,Poland,1571.0
104,Portugal,2806.0
105,Romania,2115.0
106,Russia,2039.5
107,Serbia,2112.0
108,Slovakia,2038.0
109,Slovenia,1974.0
110,Spain,2755.3333333333335
111,Sweden,1871.5
112,Switzerland,1566.0
113,Turkey,2218.0
114,Ukraine,1955.0
115,United Kingdom,1530.0
116,Canada,2051.0
117,Honduras,2259.8
118,Mexico,2596.25
119,Nicaragua,2759.9
120,Panama,1743.5
121,Puerto Rico,2963.8
122,El Salvador,2957.0
123,Saint Pierre and Miquelon,1427.3
124,United States,2732.6000000000004
125,Argentina,2525.2
126,Bolivia,2288.9
127,Brazil,2093.65
128,Colombia,1610.1
129,Chile,2807.9
130,Ecuador,1909.55
131,Falkland Islands,1651.0
132,French Guiana,1976.0
133,Paraguay,2803.0
134,Peru,2013.3333333333333
135,Uruguay,2481.4
136,Venezuela,2895.45
137,Australia,2813.7
138,Fiji,1922.0
139,New Zealand,2044.0
140,Papua New Guinea,2463.0
