,age,country,gdp_for_year ($),population,salaries,sex,suicides/100k pop,suicides_no,sunshine_hours_per_year,year
36,35-54 years,Albania,709452584.0,343800,23.8,male,3.49,12,2544.0,1992
37,15-24 years,Albania,709452584.0,263700,23.8,male,3.41,9,2544.0,1992
38,55-74 years,Albania,709452584.0,159500,23.8,male,3.13,5,2544.0,1992
39,25-34 years,Albania,709452584.0,245500,23.8,male,2.85,7,2544.0,1992
40,15-24 years,Albania,709452584.0,292400,23.8,female,2.39,7,2544.0,1992
41,25-34 years,Albania,709452584.0,267400,23.8,female,1.5,4,2544.0,1992
42,35-54 years,Albania,709452584.0,323100,23.8,female,0.62,2,2544.0,1992
43,55-74 years,Albania,709452584.0,164900,23.8,female,0.61,1,2544.0,1992
44,5-14 years,Albania,709452584.0,336700,23.8,female,0.0,0,2544.0,1992
45,75+ years,Albania,709452584.0,38700,23.8,female,0.0,0,2544.0,1992
46,5-14 years,Albania,709452584.0,362900,23.8,male,0.0,0,2544.0,1992
47,75+ years,Albania,709452584.0,23900,23.8,male,0.0,0,2544.0,1992
48,15-24 years,Albania,1228071038.0,243300,30.2,male,7.4,18,2544.0,1993
49,55-74 years,Albania,1228071038.0,165000,30.2,male,4.24,7,2544.0,1993
50,75+ years,Albania,1228071038.0,24200,30.2,male,4.13,1,2544.0,1993
51,25-34 years,Albania,1228071038.0,230100,30.2,male,3.91,9,2544.0,1993
52,15-24 years,Albania,1228071038.0,285300,30.2,female,3.51,10,2544.0,1993
53,35-54 years,Albania,1228071038.0,350300,30.2,male,2.85,10,2544.0,1993
54,25-34 years,Albania,1228071038.0,261800,30.2,female,2.67,7,2544.0,1993
55,35-54 years,Albania,1228071038.0,331200,30.2,female,2.11,7,2544.0,1993
56,55-74 years,Albania,1228071038.0,169500,30.2,female,1.18,2,2544.0,1993
57,5-14 years,Albania,1228071038.0,340300,30.2,female,0.29,1,2544.0,1993
58,5-14 years,Albania,1228071038.0,367000,30.2,male,0.27,1,2544.0,1993
59,75+ years,Albania,1228071038.0,39300,30.2,female,0.0,0,2544.0,1993
60,75+ years,Albania,1985673798.0,24600,50.5,male,8.13,2,2544.0,1994
61,55-74 years,Albania,1985673798.0,171400,50.5,male,6.42,11,2544.0,1994
62,75+ years,Albania,1985673798.0,39900,50.5,female,5.01,2,2544.0,1994
63,25-34 years,Albania,1985673798.0,231400,50.5,male,2.59,6,2544.0,1994
64,35-54 years,Albania,1985673798.0,362800,50.5,male,2.48,9,2544.0,1994
