,0
0,"1,823.0
"
1,"2,092.0
"
2,"2,296.0
"
3,"2,638.6
"
4,"2,757.0
"
5,"2,345.2
"
6,"2,501.0
"
7,"3,045.2
"
8,"2,333.9
"
9,"2,826.0
"
10,"2,432.0
"
11,"2,718.7
"
12,"1,951.8
"
13,"2,927.1
"
14,"2,471.4
"
15,"1,618.0
"
16,"1,644.0
"
17,"1,716.6
"
18,"1,723.8
"
19,"1,845.4
"
20,"2,380.0
"
21,"2,768.0
"
22,"3,114.0
"
23,"3,238.0
"
24,"3,382.0
"
25,"3,737.1
"
26,"3,361.0
"
27,"3,136.0
"
28,"3,282.0
"
29,"3,203.2
"
30,"3,205.5
"
31,"3,500.9
"
32,"3,070.0
"
33,"3,078.0
"
34,"3,214.0
"
35,"3,082.0
"
36,"3,124.0
"
37,"3,279.0
"
38,"3,239.0
"
39,"3,447.0
"
40,"2,954.1
"
41,"2,847.0
"
42,"3,686.0
"
43,"2,808.4
"
44,"3,291.5
"
45,"2,918.8
"
46,"3,131.2
"
47,"3,416.4
"
48,"3,541.8
"
49,"3,579.5
"
50,"3,725.0
"
51,"3,187.0
"
52,"3,169.2
"
53,"2,932.0
"
54,"2,491.9
"
55,"3,114.2
"
56,"3,582.0
"
57,"2,341.0
"
58,"2,753.5
"
59,"2,929.1
"
60,"2,815.0
"
61,"2,838.0
"
62,"3,143.0
"
63,"3,335.4
"
64,"3,129.4
"
65,"2,440.3
"
66,"1,915.0
"
67,"1,574.0
"
68,"1,607.0
"
69,"1,672.0
"
70,"2,778.0
"
71,"3,332.0
"
72,"3,333.0
"
73,"3,220.0
"
74,"3,094.0
"
75,"3,124.4
"
76,"3,312.3
"
77,"3,731.8
"
78,"2,365.4
"
79,"3,330.0
"
80,"3,371.0
"
81,"3,579.0
"
82,"2,793.9
"
83,"2,935.7
"
84,"3,166.8
"
85,"3,010.9
"
86,"3,119.9
"
87,"2,999.7
"
88,"2,797.0
"
89,"2,590.9
"
90,"2,277.8
"
91,"2,410.4
"
92,"2,626.2
"
93,"3,039.0
"
94,"3,223.2
"
95,"3,610.0
"
96,"2,838.0
"
97,"2,095.0
"
98,"2,998.0
"
99,"2,210.0
"
100,"2,210.0
"
101,"2,398.0
"
102,"2,373.4
"
103,"2,222.0
"
104,"2,658.0
"
105,"2,707.0
"
106,"1,921.2
"
107,"1,176.7
"
108,"3,958.0
"
109,"3790.8
"
110,"3943.4
"
111,"3870
"
112,"3605
"
113,"3,175.1
"
114,"2,207.4
"
115,"2,066
"
116,"2,670.8
"
117,"954.8
"
118,"2,990.2
"
119,"1,775.8
"
120,"2,523.3
"
121,"1,835.6
"
122,"2,684.6
"
123,"2,107.5
"
124,"2,583.5
"
125,"2,361.0
"
126,"2,983.3
"
127,"2,826.1
"
128,"3,240.8
"
129,"3,311.0
"
130,"1,740.4
"
131,"1,876.7
"
132,"2,356
"
133,"2,507
"
134,"1,773.9
"
135,"2,791.5
"
136,"2,492
"
137,"3,493.3
"
138,"2,950.3
"
139,"3,034.0
"
140,"2,103.1
"
141,"1,164.3
"
142,"2,142
"
143,"2,201
"
144,"1,872.4
"
145,"2,096
"
146,"2,227.6
"
147,"3,248.2
"
148,"3,224.8
"
149,"2,022.4
"
150,"2,327.3
"
151,"2,066.0
"
152,"2,212.2
"
153,"2,043.2
"
154,"1,405.2
"
155,"2,623.8
"
156,"2,512.2
"
157,"1,567.8
"
158,"1,996.3
"
159,"2,449.6
"
160,"3,508.7
"
161,"2,823.9
"
162,"2,238
"
163,"2,182
"
164,"1,585
"
165,"2,489
"
166,"2,544
"
167,"2,474
"
168,"1,884
"
169,"1,807
"
170,"1,546
"
171,"1,769
"
172,"2,177
"
173,"1,913
"
174,"1,668
"
175,"3,314.1
"
176,"1,621
"
177,"1,739
"
178,"1,826
"
179,"840
"
180,"1,858
"
181,"2,836
"
182,"1,662
"
183,"2,046
"
184,"1,626
"
185,"1,662
"
186,"2,848
"
187,"3,102
"
188,"1,988
"
189,"1,326
"
190,"1,453
"
191,"1,915
"
192,"2,473
"
193,"1,754
"
194,"1,691
"
195,"3,054
"
196,"2,126
"
197,"2,481
"
198,"1,662
"
199,"2,339
"
200,"1,187
"
201,"1,668
"
202,"1,265
"
203,"1,571
"
204,"2,806
"
205,"2,115
"
206,"1,901
"
207,"2,178
"
208,"2,112
"
209,"2,038
"
210,"1,974
"
211,"2,591
"
212,"2,769
"
213,"2,906
"
214,"1,922
"
215,"1,821
"
216,"1,566
"
217,"2,218
"
218,"1,955
"
219,"1,427
"
220,"1,633
"
221,"2,396.3
"
222,"1,799.5
"
223,"2,344.8
"
224,"1,476.8
"
225,"2,051.0
"
226,"2,066.4
"
227,"1,937.6
"
228,"1,827.1
"
229,"2,352.9
"
230,"2,259.8
"
231,"3,148
"
232,"2,555
"
233,"2,239
"
234,"2,443
"
235,"2,759.9
"
236,"1,743.5
"
237,"2,963.8
"
238,"2,957
"
239,"1,427.3
"
240,"3,415.4
"
241,"2,061.2
"
242,"1,530.7
"
243,"2,738.3
"
244,"2,643.7
"
245,"2,581.7
"
246,"2,993.4
"
247,"2,633.6
"
248,"2,821.0
"
249,"2,508.4
"
250,"2,280.0
"
251,"2,182.6
"
252,"2,849.7
"
253,"3,106.6
"
254,"2,435.9
"
255,"3,762.5
"
256,"3,564.2
"
257,"3,035.9
"
258,"2,577.9
"
259,"2,440.4
"
260,"2,879.7
"
261,"2,809.9
"
262,"3,825.3
"
263,"3,254.2
"
264,"2,514.4
"
265,"2,888.3
"
266,"3,154.0
"
267,"2,483.6
"
268,"2,710.7
"
269,"2,510.1
"
270,"2,648.9
"
271,"2,534.7
"
272,"3,089.4
"
273,"2,726.9
"
274,"2,498.4
"
275,"3,871.6
"
276,"2,021.3
"
277,"2,340.9
"
278,"2,606.3
"
279,"2,829.0
"
280,"3,607.8
"
281,"3,029.4
"
282,"2,629.2
"
283,"3,054.6
"
284,"3,061.7
"
285,"2,169.7
"
286,"2,593.7
"
287,"2,926.5
"
288,"3,806.0
"
289,"2,786.0
"
290,"2,695.1
"
291,"2,527.7
"
292,"2,922.4
"
293,"4,015.3
"
294,"2525.2
"
295,"1281.2
"
296,"2871.7
"
297,"2283.2
"
298,"2533.9
"
299,"2288.9
"
300,"2003.3
"
301,"2363.3
"
302,"2181.1
"
303,"2843.4
"
304,"1828.5
"
305,"2006.2
"
306,"1328.0
"
307,"2561.0
"
308,"1892.2
"
309,"1941.9
"
310,"1178.0
"
311,"637.0
"
312,"2807.9
"
313,"3077.1
"
314,"1716.7
"
315,"1714.8
"
316,"3926.2
"
317,"2238.0
"
318,"1581.1
"
319,"1651.0
"
320,"1976.0
"
321,"2803.0
"
322,"3333.3
"
323,"1230
"
324,"1476.7
"
325,"2481.4
"
326,"2506.9
"
327,"3284.0
"
328,"2,765.4
"
329,"3,499.1
"
330,"2,968.4
"
331,"2,813.7
"
332,"3,092.2
"
333,"2,165.1
"
334,"2,362.6
"
335,"3,229.5
"
336,"2,635.5
"
337,"1,922
"
338,"2,003.1
"
339,"2,070.2
"
340,"2,058.7
"
341,"2,463
"
342,"2,330
"
