,Unnamed: 0,age,country,gdp_for_year ($),population,salaries,sex,suicides/100k pop,suicides_no,sunshine_hours_per_year,year
0,36,35-54 years,Albania,709452584.0,343800.0,23.8,male,3.49,12.0,2544.0,1992.0
1,37,15-24 years,Albania,709452584.0,263700.0,23.8,male,3.41,9.0,2544.0,1992.0
2,38,55-74 years,Albania,709452584.0,159500.0,23.8,male,3.13,5.0,2544.0,1992.0
3,39,25-34 years,Albania,709452584.0,245500.0,23.8,male,2.85,7.0,2544.0,1992.0
4,40,15-24 years,Albania,709452584.0,292400.0,23.8,female,2.39,7.0,2544.0,1992.0
5,41,25-34 years,Albania,709452584.0,267400.0,23.8,female,1.5,4.0,2544.0,1992.0
6,42,35-54 years,Albania,709452584.0,323100.0,23.8,female,0.62,2.0,2544.0,1992.0
7,43,55-74 years,Albania,709452584.0,164900.0,23.8,female,0.61,1.0,2544.0,1992.0
8,44,5-14 years,Albania,709452584.0,336700.0,23.8,female,0.0,0.0,2544.0,1992.0
9,45,75+ years,Albania,709452584.0,38700.0,23.8,female,0.0,0.0,2544.0,1992.0
10,46,5-14 years,Albania,709452584.0,362900.0,23.8,male,0.0,0.0,2544.0,1992.0
11,47,75+ years,Albania,709452584.0,23900.0,23.8,male,0.0,0.0,2544.0,1992.0
12,48,15-24 years,Albania,1228071038.0,243300.0,30.2,male,7.4,18.0,2544.0,1993.0
13,49,55-74 years,Albania,1228071038.0,165000.0,30.2,male,4.24,7.0,2544.0,1993.0
14,50,75+ years,Albania,1228071038.0,24200.0,30.2,male,4.13,1.0,2544.0,1993.0
15,51,25-34 years,Albania,1228071038.0,230100.0,30.2,male,3.91,9.0,2544.0,1993.0
16,52,15-24 years,Albania,1228071038.0,285300.0,30.2,female,3.51,10.0,2544.0,1993.0
17,53,35-54 years,Albania,1228071038.0,350300.0,30.2,male,2.85,10.0,2544.0,1993.0
18,54,25-34 years,Albania,1228071038.0,261800.0,30.2,female,2.67,7.0,2544.0,1993.0
19,55,35-54 years,Albania,1228071038.0,331200.0,30.2,female,2.11,7.0,2544.0,1993.0
20,56,55-74 years,Albania,1228071038.0,169500.0,30.2,female,1.18,2.0,2544.0,1993.0
21,57,5-14 years,Albania,1228071038.0,340300.0,30.2,female,0.29,1.0,2544.0,1993.0
22,58,5-14 years,Albania,1228071038.0,367000.0,30.2,male,0.27,1.0,2544.0,1993.0
23,59,75+ years,Albania,1228071038.0,39300.0,30.2,female,0.0,0.0,2544.0,1993.0
24,60,75+ years,Albania,1985673798.0,24600.0,50.5,male,8.13,2.0,2544.0,1994.0
25,61,55-74 years,Albania,1985673798.0,171400.0,50.5,male,6.42,11.0,2544.0,1994.0
26,62,75+ years,Albania,1985673798.0,39900.0,50.5,female,5.01,2.0,2544.0,1994.0
27,63,25-34 years,Albania,1985673798.0,231400.0,50.5,male,2.59,6.0,2544.0,1994.0
28,64,35-54 years,Albania,1985673798.0,362800.0,50.5,male,2.48,9.0,2544.0,1994.0
29,65,15-24 years,Albania,1985673798.0,242200.0,50.5,male,2.48,6.0,2544.0,1994.0
30,66,15-24 years,Albania,1985673798.0,282600.0,50.5,female,2.12,6.0,2544.0,1994.0
31,67,25-34 years,Albania,1985673798.0,261100.0,50.5,female,1.53,4.0,2544.0,1994.0
32,68,35-54 years,Albania,1985673798.0,342500.0,50.5,female,0.58,2.0,2544.0,1994.0
33,69,55-74 years,Albania,1985673798.0,174600.0,50.5,female,0.57,1.0,2544.0,1994.0
34,70,5-14 years,Albania,1985673798.0,371800.0,50.5,male,0.27,1.0,2544.0,1994.0
35,71,5-14 years,Albania,1985673798.0,344400.0,50.5,female,0.0,0.0,2544.0,1994.0
36,72,25-34 years,Albania,2424499009.0,232900.0,69.1,male,5.58,13.0,2544.0,1995.0
37,73,55-74 years,Albania,2424499009.0,178000.0,69.1,male,5.06,9.0,2544.0,1995.0
38,74,75+ years,Albania,2424499009.0,40800.0,69.1,female,4.9,2.0,2544.0,1995.0
39,75,15-24 years,Albania,2424499009.0,283500.0,69.1,female,4.59,13.0,2544.0,1995.0
40,76,15-24 years,Albania,2424499009.0,241200.0,69.1,male,4.56,11.0,2544.0,1995.0
41,77,75+ years,Albania,2424499009.0,25100.0,69.1,male,3.98,1.0,2544.0,1995.0
42,78,35-54 years,Albania,2424499009.0,375900.0,69.1,male,3.72,14.0,2544.0,1995.0
43,79,25-34 years,Albania,2424499009.0,264000.0,69.1,female,2.65,7.0,2544.0,1995.0
44,80,35-54 years,Albania,2424499009.0,356400.0,69.1,female,2.24,8.0,2544.0,1995.0
45,81,5-14 years,Albania,2424499009.0,376500.0,69.1,male,1.59,6.0,2544.0,1995.0
46,82,55-74 years,Albania,2424499009.0,180400.0,69.1,female,1.11,2.0,2544.0,1995.0
47,83,5-14 years,Albania,2424499009.0,348700.0,69.1,female,0.57,2.0,2544.0,1995.0
48,84,75+ years,Albania,3314898292.0,25400.0,82.7,male,7.87,2.0,2544.0,1996.0
49,85,15-24 years,Albania,3314898292.0,243600.0,82.7,male,6.98,17.0,2544.0,1996.0
50,86,25-34 years,Albania,3314898292.0,235300.0,82.7,male,5.95,14.0,2544.0,1996.0
51,87,15-24 years,Albania,3314898292.0,287700.0,82.7,female,5.56,16.0,2544.0,1996.0
52,88,75+ years,Albania,3314898292.0,41200.0,82.7,female,4.85,2.0,2544.0,1996.0
53,89,25-34 years,Albania,3314898292.0,267900.0,82.7,female,3.73,10.0,2544.0,1996.0
54,90,35-54 years,Albania,3314898292.0,379600.0,82.7,male,3.16,12.0,2544.0,1996.0
55,91,35-54 years,Albania,3314898292.0,362000.0,82.7,female,2.49,9.0,2544.0,1996.0
56,92,55-74 years,Albania,3314898292.0,179900.0,82.7,male,1.67,3.0,2544.0,1996.0
57,93,55-74 years,Albania,3314898292.0,183100.0,82.7,female,0.55,1.0,2544.0,1996.0
58,94,5-14 years,Albania,3314898292.0,380400.0,82.7,male,0.53,2.0,2544.0,1996.0
59,95,5-14 years,Albania,3314898292.0,354100.0,82.7,female,0.28,1.0,2544.0,1996.0
60,96,25-34 years,Albania,2359903108.0,236000.0,60.8,male,15.25,36.0,2544.0,1997.0
61,97,15-24 years,Albania,2359903108.0,244400.0,60.8,male,13.5,33.0,2544.0,1997.0
62,98,75+ years,Albania,2359903108.0,25400.0,60.8,male,11.81,3.0,2544.0,1997.0
63,99,35-54 years,Albania,2359903108.0,380800.0,60.8,male,7.88,30.0,2544.0,1997.0
64,100,15-24 years,Albania,2359903108.0,294000.0,60.8,female,7.14,21.0,2544.0,1997.0
65,101,55-74 years,Albania,2359903108.0,180300.0,60.8,male,6.66,12.0,2544.0,1997.0
66,102,25-34 years,Albania,2359903108.0,273900.0,60.8,female,5.84,16.0,2544.0,1997.0
67,103,75+ years,Albania,2359903108.0,42100.0,60.8,female,4.75,2.0,2544.0,1997.0
68,104,35-54 years,Albania,2359903108.0,370100.0,60.8,female,1.89,7.0,2544.0,1997.0
69,105,5-14 years,Albania,2359903108.0,361800.0,60.8,female,1.66,6.0,2544.0,1997.0
70,106,5-14 years,Albania,2359903108.0,381500.0,60.8,male,1.05,4.0,2544.0,1997.0
71,107,55-74 years,Albania,2359903108.0,187000.0,60.8,female,0.0,0.0,2544.0,1997.0
72,108,75+ years,Albania,2707123772.0,25800.0,72.3,male,11.63,3.0,2544.0,1998.0
73,109,15-24 years,Albania,2707123772.0,248800.0,72.3,male,10.85,27.0,2544.0,1998.0
74,110,15-24 years,Albania,2707123772.0,295600.0,72.3,female,10.83,32.0,2544.0,1998.0
75,111,25-34 years,Albania,2707123772.0,240400.0,72.3,male,10.82,26.0,2544.0,1998.0
76,112,35-54 years,Albania,2707123772.0,388200.0,72.3,male,7.47,29.0,2544.0,1998.0
77,113,55-74 years,Albania,2707123772.0,183800.0,72.3,male,4.9,9.0,2544.0,1998.0
78,114,25-34 years,Albania,2707123772.0,275300.0,72.3,female,3.63,10.0,2544.0,1998.0
79,115,55-74 years,Albania,2707123772.0,188200.0,72.3,female,3.19,6.0,2544.0,1998.0
80,116,35-54 years,Albania,2707123772.0,372100.0,72.3,female,2.42,9.0,2544.0,1998.0
81,117,5-14 years,Albania,2707123772.0,388400.0,72.3,male,0.51,2.0,2544.0,1998.0
82,118,5-14 years,Albania,2707123772.0,363800.0,72.3,female,0.27,1.0,2544.0,1998.0
83,119,75+ years,Albania,2707123772.0,42300.0,72.3,female,0.0,0.0,2544.0,1998.0
84,120,75+ years,Albania,3414760915.0,25900.0,88.0,male,11.58,3.0,2544.0,1999.0
85,121,15-24 years,Albania,3414760915.0,250600.0,88.0,male,9.58,24.0,2544.0,1999.0
86,122,75+ years,Albania,3414760915.0,42400.0,88.0,female,9.43,4.0,2544.0,1999.0
87,123,35-54 years,Albania,3414760915.0,391100.0,88.0,male,7.93,31.0,2544.0,1999.0
88,124,25-34 years,Albania,3414760915.0,242300.0,88.0,male,7.84,19.0,2544.0,1999.0
89,125,55-74 years,Albania,3414760915.0,185200.0,88.0,male,7.56,14.0,2544.0,1999.0
90,126,15-24 years,Albania,3414760915.0,296800.0,88.0,female,6.4,19.0,2544.0,1999.0
91,127,25-34 years,Albania,3414760915.0,276500.0,88.0,female,4.7,13.0,2544.0,1999.0
92,128,55-74 years,Albania,3414760915.0,188800.0,88.0,female,3.18,6.0,2544.0,1999.0
93,129,35-54 years,Albania,3414760915.0,373600.0,88.0,female,1.34,5.0,2544.0,1999.0
94,130,5-14 years,Albania,3414760915.0,365200.0,88.0,female,0.27,1.0,2544.0,1999.0
95,131,5-14 years,Albania,3414760915.0,391300.0,88.0,male,0.0,0.0,2544.0,1999.0
96,132,25-34 years,Albania,3632043908.0,232000.0,92.9,male,7.33,17.0,2544.0,2000.0
97,133,55-74 years,Albania,3632043908.0,177400.0,92.9,male,5.64,10.0,2544.0,2000.0
98,134,75+ years,Albania,3632043908.0,37800.0,92.9,female,5.29,2.0,2544.0,2000.0
99,135,75+ years,Albania,3632043908.0,24900.0,92.9,male,4.02,1.0,2544.0,2000.0
100,136,15-24 years,Albania,3632043908.0,263900.0,92.9,female,2.27,6.0,2544.0,2000.0
101,137,15-24 years,Albania,3632043908.0,240000.0,92.9,male,2.08,5.0,2544.0,2000.0
102,138,35-54 years,Albania,3632043908.0,332200.0,92.9,female,1.51,5.0,2544.0,2000.0
103,139,25-34 years,Albania,3632043908.0,245800.0,92.9,female,1.22,3.0,2544.0,2000.0
104,140,35-54 years,Albania,3632043908.0,374700.0,92.9,male,1.07,4.0,2544.0,2000.0
105,141,5-14 years,Albania,3632043908.0,374900.0,92.9,male,0.27,1.0,2544.0,2000.0
106,142,5-14 years,Albania,3632043908.0,324700.0,92.9,female,0.0,0.0,2544.0,2000.0
107,143,55-74 years,Albania,3632043908.0,168000.0,92.9,female,0.0,0.0,2544.0,2000.0
108,144,25-34 years,Albania,4060758804.0,206484.0,103.3,male,10.65,22.0,2544.0,2001.0
109,145,35-54 years,Albania,4060758804.0,378826.0,103.3,male,8.98,34.0,2544.0,2001.0
110,146,55-74 years,Albania,4060758804.0,196670.0,103.3,male,5.59,11.0,2544.0,2001.0
111,147,75+ years,Albania,4060758804.0,47254.0,103.3,female,4.23,2.0,2544.0,2001.0
112,148,15-24 years,Albania,4060758804.0,256039.0,103.3,male,3.91,10.0,2544.0,2001.0
113,149,15-24 years,Albania,4060758804.0,271359.0,103.3,female,3.32,9.0,2544.0,2001.0
114,150,35-54 years,Albania,4060758804.0,370191.0,103.3,female,3.24,12.0,2544.0,2001.0
115,151,75+ years,Albania,4060758804.0,31044.0,103.3,male,3.22,1.0,2544.0,2001.0
116,152,55-74 years,Albania,4060758804.0,189799.0,103.3,female,3.16,6.0,2544.0,2001.0
117,153,5-14 years,Albania,4060758804.0,321556.0,103.3,male,1.87,6.0,2544.0,2001.0
118,154,25-34 years,Albania,4060758804.0,222771.0,103.3,female,1.8,4.0,2544.0,2001.0
