,age,country,gdp_for_year ($),population,salaries,sex,suicides/100k pop,suicides_no,sunshine_hours_per_year,year
36,2,0,709452584.0,343800.0,23.8,1,1.0,12.0,2544.0,1992.0
37,0,0,709452584.0,263700.0,23.8,1,1.0,9.0,2544.0,1992.0
38,4,0,709452584.0,159500.0,23.8,1,1.0,5.0,2544.0,1992.0
39,1,0,709452584.0,245500.0,23.8,1,1.0,7.0,2544.0,1992.0
40,0,0,709452584.0,292400.0,23.8,0,1.0,7.0,2544.0,1992.0
41,1,0,709452584.0,267400.0,23.8,0,1.0,4.0,2544.0,1992.0
42,2,0,709452584.0,323100.0,23.8,0,1.0,2.0,2544.0,1992.0
43,4,0,709452584.0,164900.0,23.8,0,1.0,1.0,2544.0,1992.0
44,3,0,709452584.0,336700.0,23.8,0,0.0,0.0,2544.0,1992.0
45,5,0,709452584.0,38700.0,23.8,0,0.0,0.0,2544.0,1992.0
46,3,0,709452584.0,362900.0,23.8,1,0.0,0.0,2544.0,1992.0
47,5,0,709452584.0,23900.0,23.8,1,0.0,0.0,2544.0,1992.0
48,0,0,1228071038.0,243300.0,30.2,1,1.0,18.0,2544.0,1993.0
49,4,0,1228071038.0,165000.0,30.2,1,1.0,7.0,2544.0,1993.0
50,5,0,1228071038.0,24200.0,30.2,1,1.0,1.0,2544.0,1993.0
51,1,0,1228071038.0,230100.0,30.2,1,1.0,9.0,2544.0,1993.0
52,0,0,1228071038.0,285300.0,30.2,0,1.0,10.0,2544.0,1993.0
53,2,0,1228071038.0,350300.0,30.2,1,1.0,10.0,2544.0,1993.0
54,1,0,1228071038.0,261800.0,30.2,0,1.0,7.0,2544.0,1993.0
55,2,0,1228071038.0,331200.0,30.2,0,1.0,7.0,2544.0,1993.0
56,4,0,1228071038.0,169500.0,30.2,0,1.0,2.0,2544.0,1993.0
57,3,0,1228071038.0,340300.0,30.2,0,1.0,1.0,2544.0,1993.0
58,3,0,1228071038.0,367000.0,30.2,1,1.0,1.0,2544.0,1993.0
59,5,0,1228071038.0,39300.0,30.2,0,0.0,0.0,2544.0,1993.0
60,5,0,1985673798.0,24600.0,50.5,1,1.0,2.0,2544.0,1994.0
61,4,0,1985673798.0,171400.0,50.5,1,1.0,11.0,2544.0,1994.0
62,5,0,1985673798.0,39900.0,50.5,0,1.0,2.0,2544.0,1994.0
63,1,0,1985673798.0,231400.0,50.5,1,1.0,6.0,2544.0,1994.0
64,2,0,1985673798.0,362800.0,50.5,1,1.0,9.0,2544.0,1994.0
65,0,0,1985673798.0,242200.0,50.5,1,1.0,6.0,2544.0,1994.0
66,0,0,1985673798.0,282600.0,50.5,0,1.0,6.0,2544.0,1994.0
67,1,0,1985673798.0,261100.0,50.5,0,1.0,4.0,2544.0,1994.0
68,2,0,1985673798.0,342500.0,50.5,0,1.0,2.0,2544.0,1994.0
69,4,0,1985673798.0,174600.0,50.5,0,1.0,1.0,2544.0,1994.0
70,3,0,1985673798.0,371800.0,50.5,1,1.0,1.0,2544.0,1994.0
71,3,0,1985673798.0,344400.0,50.5,0,0.0,0.0,2544.0,1994.0
72,1,0,2424499009.0,232900.0,69.1,1,1.0,13.0,2544.0,1995.0
73,4,0,2424499009.0,178000.0,69.1,1,1.0,9.0,2544.0,1995.0
74,5,0,2424499009.0,40800.0,69.1,0,1.0,2.0,2544.0,1995.0
75,0,0,2424499009.0,283500.0,69.1,0,1.0,13.0,2544.0,1995.0
76,0,0,2424499009.0,241200.0,69.1,1,1.0,11.0,2544.0,1995.0
77,5,0,2424499009.0,25100.0,69.1,1,1.0,1.0,2544.0,1995.0
78,2,0,2424499009.0,375900.0,69.1,1,1.0,14.0,2544.0,1995.0
79,1,0,2424499009.0,264000.0,69.1,0,1.0,7.0,2544.0,1995.0
80,2,0,2424499009.0,356400.0,69.1,0,1.0,8.0,2544.0,1995.0
81,3,0,2424499009.0,376500.0,69.1,1,1.0,6.0,2544.0,1995.0
82,4,0,2424499009.0,180400.0,69.1,0,1.0,2.0,2544.0,1995.0
83,3,0,2424499009.0,348700.0,69.1,0,1.0,2.0,2544.0,1995.0
84,5,0,3314898292.0,25400.0,82.7,1,1.0,2.0,2544.0,1996.0
85,0,0,3314898292.0,243600.0,82.7,1,1.0,17.0,2544.0,1996.0
86,1,0,3314898292.0,235300.0,82.7,1,1.0,14.0,2544.0,1996.0
87,0,0,3314898292.0,287700.0,82.7,0,1.0,16.0,2544.0,1996.0
88,5,0,3314898292.0,41200.0,82.7,0,1.0,2.0,2544.0,1996.0
