Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Albania,,,23.8,30.2,50.5,69.1,82.7,60.8,72.3,88,92.9,103.3,118,152,185.2,200.2,222.6,302.4,408.6,379.8,334.7,361.3,348.6,350.1,353.8,303.1,300.8,
Armenia,,,,6.7,6.1,17.4,22.9,27.7,35.6,37.7,42.1,44.1,47.7,60.1,81.4,113.8,149.7,217,285.7,264.3,274.7,290.2,350.3,357.7,381.3,359.1,363.1,404.1
Austria,2173.8,2250.5,2486.8,2330.5,2445.6,2771.2,2709.9,2436,2492.8,2425.9,2151.2,2129,2306.2,2808.4,3201.8,3296.4,3445.7,3873.8,4319.2,4181.5,4025.4,4312.5,4096.7,4330.9,4436.4,3788.1,3873.3,4034.2
Azerbaijan,,,,,,14.2,20.8,35.5,43.5,44.8,49.5,55.8,64.9,78.8,101.2,130.7,166.8,251.5,334,370.8,413,461.2,507.1,541.8,566.7,455.7,313.2,307.1
Belarus,,,,,,65543.9,91622.7,87243,100486.2,78544.7,67.2,88.5,105.7,122.2,160.9,215.3,271.5,323.4,406.4,351.4,408.7,381.9,440.9,570,592,421.6,,
Belgium,2302.3,2404.6,2647.3,2500.4,2647.7,2946.5,2908.9,2674.4,2671.1,2691.7,2391.5,2379.8,2590.4,3160.2,3541.5,3615.3,3777.7,4222.6,4690.4,4467.8,4295,4687.4,4443.1,4691.8,4742.5,3957,3989.7,4127.2
Bosnia and Herzegovina,,,,,,,,229.2,258,274,253.9,273.6,317.6,413.8,474.9,506.8,557.4,667.1,833,854.6,823.9,903,847.4,876.6,874.9,730.9,735.7,761.2
Bulgaria,,,,,,,,,,,,,,,,,,,404.8,429.5,437.5,496,483.4,526.2,555.1,500.2,537.5,
Canada,2168.2,2298.5,2248.6,2146,2040.4,2064,2129.2,2207.5,2125.9,2186,2301.6,2243,2232,2547.6,2857.4,3247,3629.6,3998.4,4177.3,3947.1,4433.9,4788.8,4909.1,4919.2,4732.1,4148,4019.4,4174.4
Croatia,,,,,348.8,531.7,596.8,595.4,649.2,639.9,588.4,605.8,684.5,840.4,993.1,1050.3,1137.2,1316.2,1536,1465.3,1396.5,1458.7,1345.1,1391.2,1384,1109,1139.1,1219.2
Cyprus,,,,,,,,,,,,,,1660.6,1874,1942,2054.3,2328.6,2647.8,2608.3,2538.4,2739.2,2557.7,2586.4,2514.9,2088.8,2079.2,2137.6
Czechia,,,,224.4,273.2,336.2,385.6,364,386.9,380.8,365.5,395.7,504.4,628.3,746.2,832.2,934.2,1103.1,1380.8,1243.6,1273.4,1408.3,1298.2,1296.2,1256.4,1089.1,1147.1,1285.6
Denmark,2726.3,2722.1,3013.1,2855.7,2889.2,3400.4,3402.8,3093.6,3152.4,3114.9,2766.2,2764.3,3050,3784.3,4299.2,4440.4,4652.9,5230.3,5848.7,5760.6,5674.3,6063.8,5725.4,5995,6150.8,5245.9,5341.6,5487.1
Estonia,,,,79.6,132,198.8,242.5,258.6,296,302.7,290,315.2,371.6,486.4,579.7,642,754.6,993.6,1213.4,1093.5,1050,1167.9,1139.6,1260.4,1335.1,1181.6,1268.5,1379.4
Finland,2019.9,2081,2222.2,2003.2,2077.6,2385,2400.4,2180.2,2263.6,2237,2039.1,2051.7,2214.3,2726.6,3108.6,3213.3,3362,3796.4,4251.7,4139,4053.7,4408.6,4186.3,4385.9,4444.7,3762.5,3810.3,3906.1
France,2136,2158.7,2343.8,2170.8,2234.4,2517.3,2489.3,2266.6,2280.2,2204.3,1963.3,1954.5,2137.9,2623.3,2995,3086.8,3218.1,3601.9,3965.8,3822.5,3746.9,3998.8,3769.5,3945,3990.3,3367.9,3397.6,3541.8
Georgia,,,,,,,23,32.8,39.9,33.3,36.6,45.6,51.7,58.7,81.7,112.7,156.1,220.4,358.8,333.3,335.3,377.1,431.5,464.8,463.3,396.8,397.2,398.1
Germany,,2190.9,2539.2,2397.3,2492.8,2838.2,2806,2523.5,2531.7,2454.3,2154.3,2146.6,2307.5,2806.8,3116.2,3159,3224.8,3571.2,3921.8,3718.5,3620,3944.6,3736.5,3949.6,4048.8,3476.1,3541,3713.6
Greece,,,,,,1026.9,1076.5,1105.2,1160.6,1169.7,1070,1089.5,1282.5,1642,1899.5,1949.6,2055.4,2325.7,2563.7,2570.3,2362.2,2371.1,2098.5,1992.4,1978.7,1616.6,1597.6,1632.1
Hungary,294.1,331.8,390.2,408.8,446.4,387.9,393.6,390.9,390.6,383.8,372.6,430.4,534.6,699.3,866.7,947.4,944,1137.1,1303.6,1111.4,1127.7,1210.6,1105.7,1136.6,1095.6,885,917,1045.2
Iceland,,,,,,,,,2700.8,2858.5,2875.9,2540.7,2874.8,3655.4,4282.4,5486.6,5479.7,6615.6,4376.7,3433.1,3529.4,3966.8,3900.8,4302.1,4847,4656.4,5526.6,
Ireland,1879.3,1955.3,2111.1,2042,2143.8,2465.4,2483.6,2392.3,2606.2,2602.7,2412.9,2515.2,2798.9,3583.9,4139.5,4379.2,4592.6,5299,5938.1,5676.9,5237.1,5118.6,4710.6,4830.7,4897.3,4172,4229.3,4435.6
Israel,1140.3,1165.4,1222,1184.8,1283.3,1431.9,1527.7,1577.7,1541.8,1527.4,1665.6,1681.6,1482.3,1506.1,1561.8,1608.6,1675.6,1856.8,2207.6,2027.8,2205.7,2393.2,2278,2492.6,2556,2404.8,2488.7,2735
Italy,1483,1555.8,1721.8,1611.2,1697.6,1944.2,1979.8,1850.1,1872.5,1830.6,1638.6,1638.8,1768.4,2174.2,2498.6,2581.1,2691,3001.1,3324.4,3156.7,3072.2,3267.5,3004.6,3147.8,3168.8,2674.4,2691.2,2750.2
Kazakhstan,,,,,48.6,78.5,101.6,113.2,123.7,99.3,101.1,117.9,132.6,154.6,208.2,256.3,323.5,428.2,505.4,456.5,526.7,614,679.1,717.4,675.4,568.4,417.6,462.7
Kyrgyzstan,,,,,,,,,40.3,26.9,25.7,30.1,35.9,43.9,52.5,63.7,81.4,106.4,147,143.6,156.4,201.6,228.2,234.1,229,209.2,212.4,223.3
Latvia,,,,,,,,,,,,,,,,435.4,539.9,775.7,1003.1,913.6,839.2,918.7,880.1,950.9,1016.3,907.6,950.8,1046.1
