,age,country,gdp_for_year ($),population,salaries,sex,suicides/100k pop,suicides_no,year
0,15-24 years,Albania,2156624900.0,312900,,male,6.71,21,1987
1,35-54 years,Albania,2156624900.0,308000,,male,5.19,16,1987
2,15-24 years,Albania,2156624900.0,289700,,female,4.83,14,1987
3,75+ years,Albania,2156624900.0,21800,,male,4.59,1,1987
4,25-34 years,Albania,2156624900.0,274300,,male,3.28,9,1987
5,75+ years,Albania,2156624900.0,35600,,female,2.81,1,1987
6,35-54 years,Albania,2156624900.0,278800,,female,2.15,6,1987
7,25-34 years,Albania,2156624900.0,257200,,female,1.56,4,1987
8,55-74 years,Albania,2156624900.0,137500,,male,0.73,1,1987
9,5-14 years,Albania,2156624900.0,311000,,female,0.0,0,1987
10,55-74 years,Albania,2156624900.0,144600,,female,0.0,0,1987
11,5-14 years,Albania,2156624900.0,338200,,male,0.0,0,1987
12,75+ years,Albania,2126000000.0,36400,,female,5.49,2,1988
13,15-24 years,Albania,2126000000.0,319200,,male,5.33,17,1988
14,75+ years,Albania,2126000000.0,22300,,male,4.48,1,1988
15,35-54 years,Albania,2126000000.0,314100,,male,4.46,14,1988
16,55-74 years,Albania,2126000000.0,140200,,male,2.85,4,1988
17,15-24 years,Albania,2126000000.0,295600,,female,2.71,8,1988
18,55-74 years,Albania,2126000000.0,147500,,female,2.03,3,1988
19,25-34 years,Albania,2126000000.0,262400,,female,1.91,5,1988
20,25-34 years,Albania,2126000000.0,279900,,male,1.79,5,1988
21,35-54 years,Albania,2126000000.0,284500,,female,1.41,4,1988
22,5-14 years,Albania,2126000000.0,317200,,female,0.0,0,1988
23,5-14 years,Albania,2126000000.0,345000,,male,0.0,0,1988
24,75+ years,Albania,2335124988.0,22500,,male,8.89,2,1989
25,25-34 years,Albania,2335124988.0,283600,,male,6.35,18,1989
26,35-54 years,Albania,2335124988.0,318400,,male,4.71,15,1989
27,55-74 years,Albania,2335124988.0,142100,,male,4.22,6,1989
28,15-24 years,Albania,2335124988.0,323500,,male,3.71,12,1989
29,35-54 years,Albania,2335124988.0,288600,,female,2.43,7,1989
30,15-24 years,Albania,2335124988.0,299900,,female,1.67,5,1989
31,25-34 years,Albania,2335124988.0,266300,,female,0.75,2,1989
32,55-74 years,Albania,2335124988.0,149600,,female,0.67,1,1989
33,5-14 years,Albania,2335124988.0,321900,,female,0.0,0,1989
34,75+ years,Albania,2335124988.0,37000,,female,0.0,0,1989
35,5-14 years,Albania,2335124988.0,349700,,male,0.0,0,1989
36,35-54 years,Albania,709452584.0,343800,23.8,male,3.49,12,1992
37,15-24 years,Albania,709452584.0,263700,23.8,male,3.41,9,1992
38,55-74 years,Albania,709452584.0,159500,23.8,male,3.13,5,1992
39,25-34 years,Albania,709452584.0,245500,23.8,male,2.85,7,1992
40,15-24 years,Albania,709452584.0,292400,23.8,female,2.39,7,1992
41,25-34 years,Albania,709452584.0,267400,23.8,female,1.5,4,1992
42,35-54 years,Albania,709452584.0,323100,23.8,female,0.62,2,1992
43,55-74 years,Albania,709452584.0,164900,23.8,female,0.61,1,1992
44,5-14 years,Albania,709452584.0,336700,23.8,female,0.0,0,1992
45,75+ years,Albania,709452584.0,38700,23.8,female,0.0,0,1992
46,5-14 years,Albania,709452584.0,362900,23.8,male,0.0,0,1992
47,75+ years,Albania,709452584.0,23900,23.8,male,0.0,0,1992
48,15-24 years,Albania,1228071038.0,243300,30.2,male,7.4,18,1993
49,55-74 years,Albania,1228071038.0,165000,30.2,male,4.24,7,1993
50,75+ years,Albania,1228071038.0,24200,30.2,male,4.13,1,1993
51,25-34 years,Albania,1228071038.0,230100,30.2,male,3.91,9,1993
52,15-24 years,Albania,1228071038.0,285300,30.2,female,3.51,10,1993
53,35-54 years,Albania,1228071038.0,350300,30.2,male,2.85,10,1993
54,25-34 years,Albania,1228071038.0,261800,30.2,female,2.67,7,1993
55,35-54 years,Albania,1228071038.0,331200,30.2,female,2.11,7,1993
56,55-74 years,Albania,1228071038.0,169500,30.2,female,1.18,2,1993
57,5-14 years,Albania,1228071038.0,340300,30.2,female,0.29,1,1993
58,5-14 years,Albania,1228071038.0,367000,30.2,male,0.27,1,1993
59,75+ years,Albania,1228071038.0,39300,30.2,female,0.0,0,1993
60,75+ years,Albania,1985673798.0,24600,50.5,male,8.13,2,1994
61,55-74 years,Albania,1985673798.0,171400,50.5,male,6.42,11,1994
62,75+ years,Albania,1985673798.0,39900,50.5,female,5.01,2,1994
63,25-34 years,Albania,1985673798.0,231400,50.5,male,2.59,6,1994
64,35-54 years,Albania,1985673798.0,362800,50.5,male,2.48,9,1994
65,15-24 years,Albania,1985673798.0,242200,50.5,male,2.48,6,1994
66,15-24 years,Albania,1985673798.0,282600,50.5,female,2.12,6,1994
67,25-34 years,Albania,1985673798.0,261100,50.5,female,1.53,4,1994
68,35-54 years,Albania,1985673798.0,342500,50.5,female,0.58,2,1994
69,55-74 years,Albania,1985673798.0,174600,50.5,female,0.57,1,1994
70,5-14 years,Albania,1985673798.0,371800,50.5,male,0.27,1,1994
71,5-14 years,Albania,1985673798.0,344400,50.5,female,0.0,0,1994
72,25-34 years,Albania,2424499009.0,232900,69.1,male,5.58,13,1995
73,55-74 years,Albania,2424499009.0,178000,69.1,male,5.06,9,1995
74,75+ years,Albania,2424499009.0,40800,69.1,female,4.9,2,1995
75,15-24 years,Albania,2424499009.0,283500,69.1,female,4.59,13,1995
76,15-24 years,Albania,2424499009.0,241200,69.1,male,4.56,11,1995
77,75+ years,Albania,2424499009.0,25100,69.1,male,3.98,1,1995
78,35-54 years,Albania,2424499009.0,375900,69.1,male,3.72,14,1995
79,25-34 years,Albania,2424499009.0,264000,69.1,female,2.65,7,1995
80,35-54 years,Albania,2424499009.0,356400,69.1,female,2.24,8,1995
81,5-14 years,Albania,2424499009.0,376500,69.1,male,1.59,6,1995
82,55-74 years,Albania,2424499009.0,180400,69.1,female,1.11,2,1995
83,5-14 years,Albania,2424499009.0,348700,69.1,female,0.57,2,1995
84,75+ years,Albania,3314898292.0,25400,82.7,male,7.87,2,1996
85,15-24 years,Albania,3314898292.0,243600,82.7,male,6.98,17,1996
86,25-34 years,Albania,3314898292.0,235300,82.7,male,5.95,14,1996
87,15-24 years,Albania,3314898292.0,287700,82.7,female,5.56,16,1996
88,75+ years,Albania,3314898292.0,41200,82.7,female,4.85,2,1996
89,25-34 years,Albania,3314898292.0,267900,82.7,female,3.73,10,1996
90,35-54 years,Albania,3314898292.0,379600,82.7,male,3.16,12,1996
91,35-54 years,Albania,3314898292.0,362000,82.7,female,2.49,9,1996
92,55-74 years,Albania,3314898292.0,179900,82.7,male,1.67,3,1996
93,55-74 years,Albania,3314898292.0,183100,82.7,female,0.55,1,1996
94,5-14 years,Albania,3314898292.0,380400,82.7,male,0.53,2,1996
95,5-14 years,Albania,3314898292.0,354100,82.7,female,0.28,1,1996
96,25-34 years,Albania,2359903108.0,236000,60.8,male,15.25,36,1997
97,15-24 years,Albania,2359903108.0,244400,60.8,male,13.5,33,1997
98,75+ years,Albania,2359903108.0,25400,60.8,male,11.81,3,1997
99,35-54 years,Albania,2359903108.0,380800,60.8,male,7.88,30,1997
