,0
0,Ivory Coast
1,Ivory Coast
2,Ivory Coast
3,Ivory Coast
4,Ivory Coast
5,Benin
6,Benin
7,Benin
8,Togo
9,Togo
10,Ghana
11,Ghana
12,Ghana
13,Cameroon
14,Cameroon
15,Cameroon
16,Cameroon
17,Gabon
18,Gabon
19,Nigeria
20,Nigeria
21,Nigeria
22,Nigeria
23,Nigeria
24,Sudan
25,Sudan
26,Eritrea
27,Burkina Faso
28,Burkina Faso
29,Niger
30,Chad
31,Chad
32,Gambia
33,Senegal
34,Senegal
35,Somalia
36,Somalia
37,Djibouti
38,Mali
39,Mali
40,Mali
41,Algeria
42,Algeria
43,Tunisia
44,Tunisia
45,Morocco
46,Morocco
47,Morocco
48,Egypt
49,Egypt
50,Egypt
51,Libya
52,Libya
53,Kenya
54,Kenya
55,Kenya
56,Kenya
57,Angola
58,South Sudan
59,South Sudan
60,Tanzania
61,Tanzania
62,Tanzania
63,Tanzania
64,Ethiopia
65,Ethiopia
66,Congo
67,Congo
68,Congo
69,Democratic Republic of the Congo
70,Democratic Republic of the Congo
71,Mauritania
72,Mauritania
73,South Africa
74,South Africa
75,South Africa
76,South Africa
77,South Africa
78,South Africa
79,Botswana
80,Botswana
81,Botswana
82,Zambia
83,Zambia
84,Zambia
85,Zimbabwe
86,Zimbabwe
87,Malawi
88,Malawi
89,Malawi
90,Madagascar
91,Madagascar
92,Madagascar
93,Madagascar
94,Madagascar
95,Madagascar
96,Mozambique
97,Central African Republic
98,Central African Republic
99,Uganda
100,Uganda
101,Uganda
102,Burundi
103,Guinea
104,Guinea
105,Guinea-Bissau
106,Equatorial Guinea
107,Equatorial Guinea
108,Egypt
109,Egypt
110,Egypt
111,Namibia
112,Namibia
113,Afghanistan
114,Azerbaijan
115,Bangladesh
116,China
117,China
118,China
119,China
120,China
121,Hong Kong
122,India
123,India
124,India
125,India
126,Indonesia
127,Iran
128,Iraq
129,Israel
130,Japan
131,Japan
132,Kazakhstan
133,Kazakhstan
134,Macau
135,Mongolia
136,North Korea
137,Oman
138,Pakistan
139,Pakistan
140,Philippines
141,Russia
142,Russia
143,Russia
144,Russia
145,Russia
146,Russia
147,Saudi Arabia
148,Saudi Arabia
149,Singapore
150,South Korea
151,South Korea
152,Taiwan
153,Taiwan
154,Taiwan
155,Thailand
156,Thailand
157,Thailand
158,Thailand
159,Turkey
160,United Arab
161,Emirates
162,Uzbekistan
163,Vietnam
164,Vietnam
165,Vietnam
166,Vietnam
167,Albania
168,Armenia
169,Austria
170,Belarus
171,Belgium
172,Bosnia and Herzegovina
173,Bulgaria
174,Croatia
175,Czech Republic
176,Cyprus
177,Denmark
178,Denmark
179,Estonia
180,Faroe Islands
181,Finland
182,France
183,France
184,Georgia
185,Germany
186,Germany
187,Greece
188,Greece
189,Hungary
190,Iceland
191,Ireland
192,Italy
193,Italy
194,Latvia
195,Lithuania
196,Malta
197,Moldova
198,Montenegro
199,Netherlands
200,North Macedonia
201,Norway
202,Norway
203,Norway
204,Poland
205,Portugal
206,Romania
207,Russia
208,Russia
209,Serbia
210,Slovakia
211,Slovenia
212,Spain
213,Spain
214,Spain
215,Sweden
216,Sweden
217,Switzerland
218,Turkey
219,Ukraine
220,United Kingdom
221,United Kingdom
222,Canada
223,Canada
224,Canada
225,Canada
226,Canada
227,Canada
228,Canada
229,Canada
230,Canada
231,Honduras
232,Mexico
233,Mexico
234,Mexico
235,Mexico
236,Nicaragua
237,Panama
238,Puerto Rico
239,El Salvador
240,Saint Pierre
241,and Miquelon
242,United States
243,United States
244,United States
245,United States
246,United States
247,United States
248,United States
249,United States
250,United States
251,United States
252,United States
253,United States
254,United States
255,United States
256,United States
257,United States
258,United States
259,United States
260,United States
261,United States
262,United States
263,United States
264,United States
265,United States
266,United States
267,United States
268,United States
269,United States
270,United States
271,United States
272,United States
273,United States
274,United States
275,United States
276,United States
277,United States
278,United States
279,United States
280,United States
281,United States
282,United States
283,United States
284,United States
285,United States
286,United States
287,United States
288,United States
289,United States
290,United States
291,United States
292,United States
293,United States
294,United States
295,United States
296,Argentina
297,Argentina
298,Argentina
299,Argentina
300,Argentina
301,Bolivia
302,Brazil
303,Brazil
304,Brazil
305,Brazil
306,Brazil
307,Brazil
308,Colombia
309,Colombia
310,Colombia
311,Colombia
312,Colombia
313,Colombia
314,Chile
315,Chile
316,Chile
317,Chile
318,Chile
319,Ecuador
320,Ecuador
321,Falkland Islands
322,French Guiana
323,Paraguay
324,Peru
325,Peru
326,Peru
327,Uruguay
328,Venezuela
329,Venezuela
330,Australia
331,Australia
332,Australia
333,Australia
334,Australia
335,Australia
336,Australia
337,Australia
338,Australia
339,Fiji
340,New Zealand
341,New Zealand
342,New Zealand
343,Papua New Guinea
344,Solomon Islands
